"取引日時","通貨","取引種別","取引価格","通貨1","通貨1数量","手数料","通貨1の対円レート","通貨2","通貨2数量","手数料(JPY)","課税区分","自己・媒介","注文 ID","備考"
"2024/03/05 09:25:58","SHIB/JPY","売り","0.0052709","SHIB","-1,000,000","0","0.0052709","JPY","5,270","0","","自己","BFF20240305-002558-013568",""
"2024/03/03 09:03:15","SHIB/JPY","売り","0.0031416","SHIB","-1,000,000","0","0.0031416","JPY","3,141","0","","自己","BFF20240303-000315-690453",""
"2024/03/02 19:15:26","SHIB/JPY","売り","0.0030711","SHIB","-1,000,000","0","0.0030711","JPY","3,071","0","","自己","BFF20240302-101526-805106",""
"2024/02/29 19:08:59","DOGE/JPY","買い","19.75","DOGE","50","0","19.75","JPY","-988","0","","自己","BFF20240229-100859-048876",""
"2024/02/29 19:04:35","XEM/JPY","売り","5.664","XEM","-120.599971","0","5.664","JPY","683","0","","自己","BFF20240229-100435-975729",""
"2024/02/29 18:59:24","DOGE/JPY","買い","20.09","DOGE","100","0","20.09","JPY","-2,009","0","","自己","BFF20240229-095924-893140",""
"2024/02/29 12:57:41","SHIB/JPY","売り","0.0017557","SHIB","-2,000,000","0","0.0017557","JPY","3,511","0","","自己","BFF20240229-035741-065510",""
"2024/02/27 00:21:15","SHIB/JPY","買い","0.0015403","SHIB","900,000","0","0.0015403","JPY","-1,387","0","","自己","BFF20240226-152115-653795",""
"2024/01/23 18:40:10","SHIB/JPY","買い","0.0013259","SHIB","100,000","0","0.0013259","JPY","-133","0","","自己","BFF20240123-094010-912291",""
"2024/01/19 12:41:58","SHIB/JPY","買い","0.0014155","SHIB","3,000,000","0","0.0014155","JPY","-4,247","0","","自己","BFF20240119-034158-430651",""
"2024/01/11 22:35:40","SHIB/JPY","売り","0.0014332","SHIB","-2,339,947.45624837","0","0.0014332","JPY","3,353","0","","自己","BFF20240111-133540-020582",""
"2024/01/11 22:12:20","SHIB/JPY","売り","0.0014425","SHIB","-3,840,398.8907467","0","0.0014425","JPY","5,539","0","","自己","BFF20240111-131220-717416",""
"2024/01/08 14:10:08","SHIB/JPY","買い","0.0013444","SHIB","1,332,192.79976197","0","0.0013444","JPY","-1,791","0","","自己","BFF20240108-051008-947319",""
"2024/01/08 09:07:09","SHIB/JPY","買い","0.0013749","SHIB","727,325.62368172","0","0.0013749","JPY","-1,000","0","","自己","BFF20240108-000709-891574",""
"2024/01/03 22:53:23","SHIB/JPY","買い","0.0014038","SHIB","1,780,880.46730303","0","0.0014038","JPY","-2,500","0","","自己","BFF20240103-135323-313820",""
"2023/12/17 09:07:42","SHIB/JPY","売り","0.0015872","SHIB","-630,040.32258065","0","0.0015872","JPY","1,000","0","","自己","BFF20231217-000742-690674",""
"2023/12/06 20:06:09","SHIB/JPY","売り","0.0014578","SHIB","-724,379.20153657","0","0.0014578","JPY","1,056","0","","自己","BFF20231206-110609-434952",""
